# slug|size|load|speed|feed-id  -- written by build-feed.py, read by generate.py
dws06-plus|P255/45R17|98|W|dws06-plus-15573180000
dws06-plus|P295/35R18|99|Y|dws06-plus-15573550000
weatherpeak|P245/40R18|93|V|weatherpeak-006056
weatherpeak|P225/45R17|91|V|weatherpeak-008182
weatherpeak|P235/55R19|101|H|weatherpeak-009650
weatherpeak|P235/65R17|104|H|weatherpeak-009655
weatherpeak|P255/60R19|109|H|weatherpeak-009668
weatherpeak|P215/55R16|93|H|weatherpeak-006055
weatherpeak|P225/55R19|99|V|weatherpeak-009642
weatherpeak|P225/55R17|97|V|weatherpeak-006025
weatherpeak|P215/60R17|96|H|weatherpeak-006063
weatherpeak|P245/45R18|96|V|weatherpeak-006033
weatherpeak|P225/65R17|102|H|weatherpeak-009663
weatherpeak|P235/45R18|94|V|weatherpeak-006021
weatherpeak|P215/70R16|100|H|weatherpeak-009662
weatherpeak|P205/55R16|91|V|weatherpeak-006017
weatherpeak|P215/65R17|99|H|weatherpeak-006040
weatherpeak|P235/60R18|103|H|weatherpeak-006075
blizzak-icepeak|P245/40R18 XL|97|H|blizzak-icepeak-008283
blizzak-icepeak|P215/55R16 XL|97|H|blizzak-icepeak-008285
blizzak-icepeak|P195/65R15 XL|95|T|blizzak-icepeak-008289
blizzak-icepeak|P225/65R17 XL|106|T|blizzak-icepeak-008293
blizzak-icepeak|P215/50R17 XL|95|H|blizzak-icepeak-008294
blizzak-icepeak|P205/55R16 XL|94|H|blizzak-icepeak-008298
blizzak-icepeak|P225/55R17 XL|101|H|blizzak-icepeak-008299
blizzak-icepeak|P235/55R17 XL|103|H|blizzak-icepeak-008300
blizzak-icepeak|P225/45R17 XL|94|H|blizzak-icepeak-008301
blizzak-icepeak|P215/55R17 XL|98|H|blizzak-icepeak-008302
blizzak-icepeak|P215/60R16 XL|99|H|blizzak-icepeak-008304
blizzak-icepeak|P205/60R16 XL|96|H|blizzak-icepeak-008306
blizzak-icepeak|P215/65R16 XL|102|T|blizzak-icepeak-008309
blizzak-icepeak|P235/50R19 XL|103|H|blizzak-icepeak-008310
blizzak-icepeak|P175/65R15 XL|88|T|blizzak-icepeak-008315
blizzak-icepeak|P235/45R18 XL|98|H|blizzak-icepeak-008316
blizzak-icepeak|P235/40R18 XL|95|H|blizzak-icepeak-008317
blizzak-icepeak|P225/45R18 XL|95|H|blizzak-icepeak-008320
blizzak-icepeak|P215/55R18 XL|99|T|blizzak-icepeak-008326
blizzak-icepeak|P205/65R16 XL|99|T|blizzak-icepeak-008327
blizzak-icepeak|P185/65R15 XL|92|T|blizzak-icepeak-008329
blizzak-icepeak|P185/60R15 XL|88|T|blizzak-icepeak-008330
blizzak-icepeak|P235/60R17 XL|106|T|blizzak-icepeak-008335
blizzak-icepeak|P225/50R18 XL|99|T|blizzak-icepeak-008336
blizzak-icepeak|P215/65R17 XL|103|T|blizzak-icepeak-008338
blizzak-icepeak|P215/60R17 XL|100|H|blizzak-icepeak-008340
blizzak-icepeak|P275/65R18 XL|116|R|blizzak-icepeak-013644
blizzak-icepeak|P225/55R19 XL|103|T|blizzak-icepeak-013645
blizzak-icepeak|P225/60R17 XL|103|H|blizzak-icepeak-013646
blizzak-icepeak|P225/60R18 XL|104|H|blizzak-icepeak-013647
blizzak-icepeak|P235/65R17 XL|108|T|blizzak-icepeak-013648
blizzak-icepeak|P235/60R18 XL|107|T|blizzak-icepeak-013650
blizzak-icepeak|P245/60R18 XL|109|T|blizzak-icepeak-013654
blizzak-icepeak|P245/65R17 XL|111|T|blizzak-icepeak-013655
blizzak-icepeak|P265/65R18 XL|116|S|blizzak-icepeak-013656
blizzak-icepeak|P235/50R18 XL|101|H|blizzak-icepeak-008284
blizzak-icepeak|P255/35R18 XL|94|H|blizzak-icepeak-008286
blizzak-icepeak|P195/55R16 XL|91|H|blizzak-icepeak-008290
blizzak-icepeak|P205/50R17 XL|93|H|blizzak-icepeak-008292
blizzak-icepeak|P235/45R17 XL|97|H|blizzak-icepeak-008295
blizzak-icepeak|P245/50R18 XL|104|H|blizzak-icepeak-008308
blizzak-icepeak|P185/55R15 XL|86|H|blizzak-icepeak-008312
blizzak-icepeak|P245/45R18 XL|100|H|blizzak-icepeak-008324
blizzak-icepeak|P215/45R17 XL|91|H|blizzak-icepeak-008328
blizzak-icepeak|P195/60R15 XL|92|T|blizzak-icepeak-008331
blizzak-icepeak|P185/65R14 XL|90|T|blizzak-icepeak-008332
blizzak-icepeak|P205/65R15 XL|99|T|blizzak-icepeak-008334
blizzak-icepeak|P225/65R16|100|T|blizzak-icepeak-008337
blizzak-icepeak|P265/70R17 XL|116|S|blizzak-icepeak-013661
blizzak-icepeak|P265/65R17 XL|116|S|blizzak-icepeak-013663
blizzak-icepeak|P255/65R18|111|S|blizzak-icepeak-013664
blizzak-icepeak|P235/55R18 XL|104|T|blizzak-icepeak-013667
blizzak-icepeak|P235/55R19 XL|105|T|blizzak-icepeak-013670
blizzak-icepeak|P245/55R19 XL|107|T|blizzak-icepeak-013673
blizzak-icepeak|P215/70R16 XL|104|T|blizzak-icepeak-013679
blizzak-icepeak|P255/50R20 XL|109|T|blizzak-icepeak-013682
blizzak-icepeak|P275/45R20 XL|110|T|blizzak-icepeak-013683
blizzak-icepeak|P265/50R20 XL|111|T|blizzak-icepeak-013685
blizzak-icepeak|P275/60R20 XL|116|S|blizzak-icepeak-013688
blizzak-icepeak|P255/55R20 XL|110|T|blizzak-icepeak-013690
blizzak-icepeak|P245/50R20 XL|105|T|blizzak-icepeak-013693
blizzak-icepeak|P245/45R19 XL|102|H|blizzak-icepeak-014603
blizzak-icepeak|P265/50R19 XL|110|T|blizzak-icepeak-013666
blizzak-icepeak|P255/55R18 XL|109|T|blizzak-icepeak-013668
blizzak-icepeak|P255/50R19 XL|107|T|blizzak-icepeak-013671
blizzak-icepeak|P255/55R19 XL|111|T|blizzak-icepeak-013672
blizzak-icepeak|P275/55R19 XL|115|T|blizzak-icepeak-013674
blizzak-icepeak|P235/45R19 XL|99|T|blizzak-icepeak-013675
blizzak-icepeak|P245/75R16|111|R|blizzak-icepeak-013676
blizzak-icepeak|P265/70R16 XL|116|S|blizzak-icepeak-013677
blizzak-icepeak|P235/70R16 XL|109|T|blizzak-icepeak-013678
blizzak-icepeak|P275/40R20 XL|106|T|blizzak-icepeak-013684
blizzak-icepeak|P285/45R22 XL|114|T|blizzak-icepeak-013689
blizzak-icepeak|P285/50R20 XL|116|T|blizzak-icepeak-013691
blizzak-icepeak|P275/50R20 XL|113|T|blizzak-icepeak-013692
blizzak-icepeak|P285/45R21 XL|113|T|blizzak-icepeak-013694
blizzak-icepeak|P295/35R21 XL|107|T|blizzak-icepeak-013696
blizzak-icepeak|P275/50R22 XL|115|T|blizzak-icepeak-014392
blizzak-icepeak|P225/45R19 XL|96|H|blizzak-icepeak-014599
blizzak-icepeak|P235/50R20 XL|104|T|blizzak-icepeak-014601
blizzak-icepeak|P255/60R18 XL|112|T|blizzak-icepeak-014605
